Code station,Nom station,,,Code ZAS,,,,,,,,,,Latitude,Longitude
FR08712,St Estève,,,ATMO OCCITANIE,,,,,,,,,,"42,719833","2,839872"
FR08713,Rigaud,,,ATMO OCCITANIE,,,,,,,,,,"42,684025","2,903453"
FR08714,Les Carmes,,,ATMO OCCITANIE,,,,,,,,,,"42,6958","2,8997"
FR09003,place de VERDUN,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,162556","-1,153603"
FR09008,Aytré,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,135155","-1,117042"
FR09015,Les Couronneries,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,586918","0,358583"
FR09016,La Couronne,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"45,60882","0,099722"
FR09019,Niort Ferry,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,329586","-0,458889"
FR09103,Square Pablo Casals,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"45,647415","0,167167"
FR09106,ANGOULEME-GAMBETTA,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"45,65145","0,162367"
FR09203,La Pallice3 LR,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,16161","-1,211203"
FR09301,AIRVAULT 2,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,824368","-0,135461"
FR09302,Zoodyssée Chizé,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,143173","-0,396042"
FR09303,Niort Venise,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,320016","-0,482888"
FR09399,Niort Trafic 6,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,321747","-0,465972"
FR09403,Poitiers-Le Nain,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,5909","0,3404"
FR09404,Poitiers Centre  Augouard,,,ATMO NOUVELLE-AQUITAINE,,,,,,,,,,"46,58389","0,345556"
FR10004,Malo-les-Bains,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"51,04858","2,42004"
FR10012,Mardyck,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"51,01943","2,25099"
FR10016,Calais Berthelot,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,94729","1,84308"
FR10017,St Pol mer - cheminots,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"51,032761","2,332358"
FR10025,Sangatte,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,94989","1,76917"
FR10026,Calais Parmentier,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,9578","1,89008"
FR10028,Gravelines PC/Drire,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,98106","2,14317"
FR10029,Cappelle la Grande,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,99594","2,36627"
FR10030,Boulogne Diderot,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,717029","1,605913"
FR10032,Outreau,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,69435","1,57657"
